",""Species"",""Diel_activity"",""Habitat_breadth_IUCN"",""Forest"",""Savanna"",""Shrubland"",""Grassland"",""Wetland"",""Rocky.areas"",""Caves.and.subterranean"",""Desert"",""Marine"",""Marine.intertidal.or.coastal.supratidal"",""Artificial"",""Introduced.vegetation"",""Class"",""Order"",""Family"",""Genus"",""logBM"",""logLongevity"",""logClutchSize"",""Herbivore"",""Omnivore"",""Carnivore"""
"311,""Falco naumanni"",""Other"",2.484906649788,""0"",""1"",""0"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""1"",""0"",""Aves"",""Falconiformes"",""Falconidae"",""Falco"",5.0257209315143,8.2908728494417,1.43508452528932,0,0,1"
"312,""Falco peregrinus"",""Other"",4.06044301054642,""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""0"",""Aves"",""Falconiformes"",""Falconidae"",""Falco"",6.68210859744981,9.11945787549901,1.25276296849537,0,0,1"
"313,""Falco rusticolus"",""Other"",1.79175946922805,""1"",""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Falconiformes"",""Falconidae"",""Falco"",7.26663179767571,8.50327173607519,1.28370777234479,0,0,1"
"314,""Falco subbuteo"",""Other"",2.19722457733622,""1"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Falconiformes"",""Falconidae"",""Falco"",5.34472373936219,8.54675684801493,1.09861228866811,0,0,1"
"315,""Falco tinnunculus"",""Other"",2.99573227355399,""1"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Falconiformes"",""Falconidae"",""Falco"",5.21493575760899,9.07169524073524,1.50407739677627,0,0,1"
"316,""Falco vespertinus"",""Other"",2.19722457733622,""1"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Falconiformes"",""Falconidae"",""Falco"",5.02716459604747,8.79095380852697,1.25276296849537,0,0,1"
"317,""Ficedula albicollis"",""Other"",2.30258509299405,""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Ficedula"",2.5408142817263,8.18636002530847,1.79175946922805,0,0,1"
"318,""Ficedula hypoleuca"",""Other"",2.484906649788,""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Ficedula"",2.62394369180521,8.60863225173302,1.76644166124377,0,0,1"
"319,""Ficedula parva"",""Other"",2.484906649788,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Ficedula"",2.2975725511705,8.04220499799938,1.70474809223843,0,0,1"
"320,""Ficedula semitorquata"",""Other"",1.6094379124341,""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Ficedula"",2.54160199346455,8.18636002530847,1.78339121955754,0,0,1"
"321,""Francolinus francolinus"",""Other"",1.38629436111989,""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Galliformes"",""Phasianidae"",""Francolinus"",6.11486510821507,7.84649219968612,2.01490302054226,1,0,0"
"322,""Fratercula arctica"",""Other"",1.94591014905531,""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Charadriiformes"",""Alcidae"",""Fratercula"",6.08202870964103,9.61008045670039,0,0,0,1"
"323,""Fringilla coelebs"",""Other"",2.89037175789616,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Fringilla"",3.11905548958599,9.26787788061728,1.50407739677627,0,0,1"
"324,""Fringilla montifringilla"",""Other"",1.79175946922805,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Fringilla"",3.13222801814253,8.59520923140088,1.77495235091167,0,0,1"
"325,""Fringilla teydea"",""Other"",0,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Fringilla"",3.41114771251532,8.51001850062331,0.693147180559945,0,0,1"
"326,""Fulica atra"",""Other"",3.71357206670431,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Gruiformes"",""Rallidae"",""Fulica"",6.65286302935335,9.37564970467524,2.02814824729229,0,0,1"
"327,""Fulica cristata"",""Other"",2.30258509299405,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Gruiformes"",""Rallidae"",""Fulica"",6.7244332218546,7.63518310601892,1.77495235091167,0,0,1"
"328,""Fulmarus glacialis"",""Other"",2.94443897916644,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Procellariiformes"",""Procellariidae"",""Fulmarus"",6.41836493593621,9.83240768335513,0,0,0,1"
"329,""Galerida cristata"",""Other"",3.17805383034795,""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Passeriformes"",""Alaudidae"",""Galerida"",3.75373042643355,8.35014921579288,1.45278410238872,0,0,1"
"330,""Galerida theklae"",""Other"",1.94591014905531,""0"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Alaudidae"",""Galerida"",3.64204986675714,8.09797122783801,1.4036429994545,0,0,1"
"331,""Gallinago gallinago"",""Other"",3.09104245335832,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""0"",""1"",""0"",""Aves"",""Charadriiformes"",""Scolopacidae"",""Gallinago"",4.72685670424469,8.80200364471356,1.38629436111989,0,0,1"
"332,""Gallinago media"",""Other"",1.94591014905531,""0"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Charadriiformes"",""Scolopacidae"",""Gallinago"",5.13873529672357,8.48415301668836,1.38629436111989,0,0,1"
"333,""Gallinago stenura"",""Other"",1.94591014905531,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Charadriiformes"",""Scolopacidae"",""Gallinago"",4.75789127300576,8.52317169771256,1.38629436111989,0,0,1"
"334,""Gallinula chloropus"",""Other"",4.0943445622221,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Gruiformes"",""Rallidae"",""Gallinula"",5.8814124877941,8.82374363134996,1.94591014905531,0,0,1"
"335,""Garrulus glandarius"",""Other"",2.30258509299405,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Corvidae"",""Garrulus"",5.08047225368504,8.78631350537561,1.6094379124341,0,0,1"
"336,""Gavia adamsii"",""Other"",2.484906649788,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""Aves"",""Gaviiformes"",""Gaviidae"",""Gavia"",8.5283803808068,9.30177943229296,0.693147180559945,0,0,1"
"337,""Gavia arctica"",""Other"",2.19722457733622,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""Aves"",""Gaviiformes"",""Gaviidae"",""Gavia"",7.88795933659994,9.23278656080601,0.667829372575655,0,0,1"
"338,""Gavia immer"",""Other"",2.30258509299405,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""Aves"",""Gaviiformes"",""Gaviidae"",""Gavia"",8.50851766765111,9.08210203211405,0.693147180559945,0,0,1"
"339,""Gavia stellata"",""Other"",2.484906649788,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""Aves"",""Gaviiformes"",""Gaviidae"",""Gavia"",7.37963215260955,9.06605709877189,0.693147180559945,0,0,1"
"340,""Gelochelidon nilotica"",""Other"",2.94443897916644,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Gelochelidon"",5.3958976948869,8.67317077287059,1.09861228866811,0,0,1"
"341,""Glareola nordmanni"",""Other"",2.30258509299405,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Charadriiformes"",""Glareolidae"",""Glareola"",4.57666782551538,8.62191067432606,1.27256559579155,0,0,1"
"342,""Glareola pratincola"",""Other"",2.89037175789616,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Glareolidae"",""Glareola"",4.38618460332877,8.49823044690623,1.09861228866811,0,0,1"
"343,""Glaucidium passerinum"",""Nocturnal"",1.6094379124341,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Strigiformes"",""Strigidae"",""Glaucidium"",4.06902675423781,7.69234151985886,1.6094379124341,0,0,1"
"344,""Grus grus"",""Other"",2.39789527279837,""0"",""1"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Gruiformes"",""Gruidae"",""Grus"",8.61250155303709,9.66178216632437,0.693147180559945,0,0,1"
"345,""Gymnoris xanthocollis"",""Other"",1.6094379124341,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Passeridae"",""Gymnoris"",2.85215054507597,8.11505707582613,1.25276296849537,0,0,1"
"346,""Gypaetus barbatus"",""Other"",1.6094379124341,""0"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Accipitriformes"",""Accipitridae"",""Gypaetus"",8.64734036402261,9.58946150474475,0.405465108108164,0,0,1"
"347,""Gyps fulvus"",""Other"",1.6094379124341,""0"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Accipitriformes"",""Accipitridae"",""Gyps"",8.91408834884133,9.62386293146208,0,0,0,1"
"348,""Haematopus ostralegus"",""Other"",3.17805383034795,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Haematopodidae"",""Haematopus"",6.27875591824594,9.66950421241828,1.04731899428056,0,0,1"
"349,""Halcyon smyrnensis"",""Other"",2.83321334405622,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Coraciiformes"",""Alcedinidae"",""Halcyon"",4.51168334289463,7.60533014286923,1.70474809223843,0,0,1"
"350,""Haliaeetus albicilla"",""Other"",3.58351893845611,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Accipitriformes"",""Accipitridae"",""Haliaeetus"",8.46824136418004,9.63825166891418,0.693147180559945,0,0,1"
"351,""Hieraaetus pennatus"",""Other"",2.07944154167984,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""Aves"",""Accipitriformes"",""Accipitridae"",""Hieraaetus"",6.72683274310189,8.38548870041881,0.693147180559945,0,0,1"
"352,""Himantopus himantopus"",""Other"",4.43081679884331,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Recurvirostridae"",""Himantopus"",5.17775860713231,8.64998743741493,1.3806534812298,0,0,1"
"353,""Hippolais icterina"",""Other"",1.6094379124341,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Acrocephalidae"",""Hippolais"",2.75126932022219,8.28320985129839,1.50407739677627,0,0,1"
"354,""Hippolais languida"",""Other"",1.94591014905531,""1"",""1"",""1"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Acrocephalidae"",""Hippolais"",2.48698781599182,8.18000190188967,1.50407739677627,0,0,1"
"355,""Hippolais olivetorum"",""Other"",1.38629436111989,""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Acrocephalidae"",""Hippolais"",2.88759011493429,8.2707207054579,1.28785428830664,0,0,1"
"356,""Hippolais polyglotta"",""Other"",2.39789527279837,""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Acrocephalidae"",""Hippolais"",2.48073127837752,8.08850438882905,1.37371557891303,0,0,1"
"357,""Hirundo rustica"",""Other"",2.77258872223978,""0"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Hirundinidae"",""Hirundo"",2.88535921607262,8.67317077287059,1.50296566792358,0,0,1"
"358,""Histrionicus histrionicus"",""Other"",2.19722457733622,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Anseriformes"",""Anatidae"",""Histrionicus"",6.33073643248135,8.5816035793451,1.77495235091167,0,0,1"
"359,""Hydrobates pelagicus"",""Other"",2.99573227355399,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Procellariiformes"",""Hydrobatidae"",""Hydrobates"",3.23671574299653,9.42104285311978,0,0,0,1"
"360,""Hydrocoloeus minutus"",""Other"",3.46573590279973,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Hydrocoloeus"",4.77068462446567,8.94112840542122,1.05605267424931,0,0,1"
"361,""Hydroprogne caspia"",""Other"",3.36729582998647,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Hydroprogne"",6.4841262511628,9.30177943229296,0.799756915618204,0,0,1"
"362,""Ichthyaetus audouinii"",""Other"",3.24849788595818,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Ichthyaetus"",6.35458306158507,8.94112840542122,0.914288729203482,0,0,1"
"363,""Ichthyaetus ichthyaetus"",""Other"",3.38117033583782,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Ichthyaetus"",7.24776411161169,8.09780662796703,0.693147180559945,0,0,1"
"364,""Ichthyaetus melanocephalus"",""Other"",3.0875212644366,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Ichthyaetus"",5.57072715916516,8.99540516483995,1.09861228866811,0,0,1"
"365,""Iduna caligata"",""Other"",1.79175946922805,""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Acrocephalidae"",""Iduna"",2.20552338015091,8.01363218224669,1.6094379124341,0,0,1"
"366,""Iduna pallida"",""Other"",2.19722457733622,""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Acrocephalidae"",""Iduna"",2.2082744135228,7.96744481010378,1.19392246847243,0,0,1"
"367,""Irania gutturalis"",""Other"",2.19722457733622,""0"",""1"",""1"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Irania"",3.07269331469012,8.15801948462253,1.44691898293633,0,0,1"
"368,""Ixobrychus minutus"",""Other"",3.52636052461616,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Pelecaniformes"",""Ardeidae"",""Ixobrychus"",4.63957161270542,7.83451620655631,1.52605630349505,0,0,1"
"369,""Jynx torquilla"",""Other"",3.09104245335832,""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Piciformes"",""Picidae"",""Jynx"",3.57980845199637,8.20316714362485,2.14006616349627,0,0,1"
"370,""Lagopus lagopus"",""Other"",1.6094379124341,""1"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Galliformes"",""Phasianidae"",""Lagopus"",6.37927471997743,8.09780662796703,2.19165353228676,1,0,0"
"371,""Lagopus muta"",""Other"",0,""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Galliformes"",""Phasianidae"",""Lagopus"",6.28282733739934,7.70613461696234,1.94591014905531,1,0,0"
"372,""Lanius collurio"",""Other"",2.56494935746154,""1"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Laniidae"",""Lanius"",3.34814816057234,8.21146581067834,1.70474809223843,0,0,1"
"373,""Lanius excubitor"",""Other"",4.18965474202643,""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""Aves"",""Passeriformes"",""Laniidae"",""Lanius"",4.14962157771194,8.67940132262123,1.62924053973028,0,0,1"
"374,""Lanius meridionalis"",""Other"",1.6094379124341,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Laniidae"",""Lanius"",4.12616617454506,8.67940132262123,1.64865862558738,0,0,1"
"375,""Lanius minor"",""Other"",2.39789527279837,""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Laniidae"",""Lanius"",3.83945231259331,7.69234151985886,1.70474809223843,0,0,1"
"376,""Lanius nubicus"",""Other"",2.30258509299405,""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Laniidae"",""Lanius"",3.12015985192904,7.36845639874312,1.61938824328727,0,0,1"
"377,""Lanius senator"",""Other"",2.63905732961526,""1"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Laniidae"",""Lanius"",3.58310218495977,7.66417064289217,1.67709656090792,0,0,1"
"378,""Larus argentatus"",""Other"",4.15888308335967,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",6.99484081988822,9.79240234874143,1.02961941718116,0,0,1"
"379,""Larus armenicus"",""Other"",2.99573227355399,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",6.76733737150891,9.52788398532917,1.09861228866811,0,0,1"
"380,""Larus cachinnans"",""Other"",3.91202300542815,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",7.01381654905423,9.79240234874143,0.955511445027436,0,0,1"
"381,""Larus canus"",""Other"",3.46573590279973,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",6.02230893040296,9.41807948177973,1.09861228866811,0,0,1"
"382,""Larus fuscus"",""Other"",3.71357206670431,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",6.63641888506644,9.79240234874143,0.993251773010283,0,0,1"
"383,""Larus glaucoides"",""Other"",4.06044301054642,""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",6.84851469893786,9.61415411733512,0.914288729203482,0,0,1"
"384,""Larus hyperboreus"",""Other"",2.94443897916644,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",7.33239536647634,8.94906482464106,1.02961941718116,0,0,1"
"385,""Larus marinus"",""Other"",3.13549421592915,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Charadriiformes"",""Laridae"",""Larus"",7.41101535603546,9.27360902467201,1.09861228866811,0,0,1"
"386,""Limicola falcinellus"",""Other"",2.70805020110221,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Scolopacidae"",""Limicola"",3.75067985501938,7.82239464805828,1.38629436111989,0,0,1"
"387,""Limosa lapponica"",""Other"",2.484906649788,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""Aves"",""Charadriiformes"",""Scolopacidae"",""Limosa"",5.70366946827122,9.39961188842046,1.38629436111989,0,0,1"
"388,""Limosa limosa"",""Other"",2.39789527279837,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Scolopacidae"",""Limosa"",5.67332326717149,9.06112224043974,1.37371557891303,0,0,1"
"389,""Linaria cannabina"",""Other"",2.30258509299405,""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Linaria"",2.97195174488859,8.143098544475,1.58923520511658,1,0,0"
"390,""Linaria flavirostris"",""Other"",1.79175946922805,""0"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Linaria"",2.80032547721138,7.70887082181007,1.70474809223843,0,0,1"
"391,""Locustella fluviatilis"",""Other"",2.07944154167984,""1"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Passeriformes"",""Locustellidae"",""Locustella"",2.89175968317101,7.83451620655631,1.64865862558738,0,0,1"
"392,""Locustella lanceolata"",""Other"",2.30258509299405,""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Locustellidae"",""Locustella"",2.43798973000025,8.00473260034159,1.49290409617815,0,0,1"
"393,""Locustella luscinioides"",""Other"",2.07944154167984,""1"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Locustellidae"",""Locustella"",2.69124308278583,8.17784947604316,1.50407739677627,0,0,1"
"394,""Locustella naevia"",""Other"",2.19722457733622,""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Locustellidae"",""Locustella"",2.69799986524871,7.67835550925177,1.70474809223843,0,0,1"
"395,""Lophophanes cristatus"",""Other"",1.6094379124341,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Paridae"",""Lophophanes"",2.40243042796376,8.35158714874313,1.87180217690159,0,0,1"
"396,""Loxia curvirostra"",""Other"",0.693147180559945,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Loxia"",3.67630067190708,8.67836550463316,1.22377543162212,1,0,0"
"397,""Loxia leucoptera"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Loxia"",3.35654862999327,7.2868764117507,1.32175583998232,0,0,1"
"398,""Loxia pytyopsittacus"",""Other"",0.693147180559945,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Loxia"",3.97264762724458,7.69234151985886,1.25276296849537,1,0,0"
"399,""Loxia scotica"",""Other"",0,""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Passeriformes"",""Fringillidae"",""Loxia"",3.76514580956739,8.67836550463316,1.25276296849537,1,0,0"
"400,""Lullula arborea"",""Other"",2.56494935746154,""1"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Alaudidae"",""Lullula"",3.32593489716161,7.51001996306491,1.31774781858478,0,0,1"
"401,""Luscinia calliope"",""Other"",2.484906649788,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Luscinia"",3.05163990549229,8.30186029127716,1.6094379124341,0,0,1"
"402,""Luscinia luscinia"",""Other"",2.70805020110221,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Luscinia"",3.2188758248682,8.08850438882905,1.50407739677627,0,0,1"
"403,""Luscinia megarhynchos"",""Other"",2.70805020110221,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Luscinia"",2.99239320506438,8.2908728494417,1.56444054650336,0,0,1"
"404,""Luscinia svecica"",""Other"",3.13549421592915,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Passeriformes"",""Muscicapidae"",""Luscinia"",2.84665205053984,8.3356564465768,1.77495235091167,0,0,1"
"405,""Lymnocryptes minimus"",""Other"",1.6094379124341,""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Charadriiformes"",""Scolopacidae"",""Lymnocryptes"",3.91601502669768,8.41288767460692,1.38629436111989,0,0,1"
"406,""Lyrurus mlokosiewiczi"",""Other"",0.693147180559945,""1"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Aves"",""Galliformes"",""Phasianidae"",""Lyrurus"",6.70287518084705,8.57664097208628,1.79175946922805,1,0,0"
"407,""Lyrurus tetrix"",""Other"",1.79175946922805,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Aves"",""Galliformes"",""Phasianidae"",""Lyrurus"",6.98702845987664,8.40610787587253,2.07944154167984,1,0,0"
"408,""Marmaronetta angustirostris"",""Other"",2.77258872223978,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""Aves"",""Anseriformes"",""Anatidae"",""Marmaronetta"",6.21160358940189,9.0284485907539,2.35137525716348,1,0,0"
"409,""Melanitta fusca"",""Other"",2.19722457733622,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""Aves"",""Anseriformes"",""Anatidae"",""Melanitta"",7.47652051137596,8.96475154965672,2.13184837210594,0,0,1"
